data,historico,valor,categoria,conta,entrada,saida
2026-06-01,Pix - Recebido FALCAO & FR,9335.37,Recebimento cliente diverso,1.01.03.01.01 Duplicatas a Receber,9335.37,0.0
2026-06-01,Pix - Recebido FALCAO E FR,2089.56,Recebimento cliente diverso,1.01.03.01.01 Duplicatas a Receber,2089.56,0.0
2026-06-01,Pix - Recebido WILSON MARCOS,64.9,Recebimento cliente diverso,1.01.03.01.01 Duplicatas a Receber,64.9,0.0
2026-06-01,Pix - Recebido JOHN ALLEFFY S,274.9,Recebimento cliente diverso,1.01.03.01.01 Duplicatas a Receber,274.9,0.0
2026-06-01,Pagamento de Boleto G3 TELECOM LTDA,-105.0,Pagamento a fornecedor (boleto),2.01.01.01.01 Fornecedores Nacionais,0.0,105.0
2026-06-01,Pagamento de Boleto BANCO DO BRASIL S/A - BRASILIA,-5868.4,Pagamento a fornecedor (boleto),2.01.01.01.01 Fornecedores Nacionais,0.0,5868.4
2026-06-02,Pix - Recebido BARROSO ART,102.0,Recebimento cliente diverso,1.01.03.01.01 Duplicatas a Receber,102.0,0.0
2026-06-02,Pix - Recebido EDUARDO P SAMP,267.5,Recebimento cliente diverso,1.01.03.01.01 Duplicatas a Receber,267.5,0.0
2026-06-02,Pagamento de Boleto ATHENA SECURITIZADORA S A,-3343.8,Pagamento a fornecedor (boleto),2.01.01.01.01 Fornecedores Nacionais,0.0,3343.8
2026-06-03,Pix - Recebido BARROSO ART,110.0,Recebimento cliente diverso,1.01.03.01.01 Duplicatas a Receber,110.0,0.0
2026-06-03,Compra com Cartao TintasCadillac,-65.0,Despesa cartão débito/crédito,4.02.02.01.01 Despesas Gerais,0.0,65.0
2026-06-03,Compra com Cartao CANTINA MONTOIA,-81.0,Despesa cartão débito/crédito,4.02.02.01.01 Despesas Gerais,0.0,81.0
2026-06-03,Compra com Cartao SUPERMERCADO J.H.,-22.99,Despesa cartão débito/crédito,4.02.02.01.01 Despesas Gerais,0.0,22.99
2026-06-03,Compra com Cartao A. A. GIMENES LTD,-8.2,Despesa cartão débito/crédito,4.02.02.01.01 Despesas Gerais,0.0,8.2
2026-06-03,Compra com Cartao PARATY FOOD TRUCK,-50.0,Despesa cartão débito/crédito,4.02.02.01.01 Despesas Gerais,0.0,50.0
2026-06-05,Pix - Recebido RONALDO MELO F,48617.19,Recebimento cliente diverso,1.01.03.01.01 Duplicatas a Receber,48617.19,0.0
2026-06-05,Pagamento de Boleto TABONE INDUSTRIA E COMERCIO DE,-2252.0,Pagamento a fornecedor (boleto),2.01.01.01.01 Fornecedores Nacionais,0.0,2252.0
2026-06-05,Pagamento de Boleto STAM METALURGICA LTDA.,-994.62,Pagamento a fornecedor (boleto),2.01.01.01.01 Fornecedores Nacionais,0.0,994.62
2026-06-05,Pagamento de Boleto HOME CONTABILIDADE LTDA,-2662.2,Pagamento a fornecedor (boleto),2.01.01.01.01 Fornecedores Nacionais,0.0,2662.2
2026-06-05,Pagamento de Boleto HD FERRAGENS PARA MOVEIS LTDA,-2086.14,Pagamento a fornecedor (boleto),2.01.01.01.01 Fornecedores Nacionais,0.0,2086.14
2026-06-05,Pagamento de Boleto PLACAS DO BRASIL S.A.,-27022.63,Pagamento a fornecedor (boleto),2.01.01.01.01 Fornecedores Nacionais,0.0,27022.63
2026-06-05,Pagamento de Boleto IMOVEIS VENEZA LTDA,-6005.22,Pagamento a fornecedor (boleto),2.01.01.01.01 Fornecedores Nacionais,0.0,6005.22
2026-06-05,Pagamento de Boleto STARRETT INDUSTRIA E COMERCIO,-372.63,Pagamento a fornecedor (boleto),2.01.01.01.01 Fornecedores Nacionais,0.0,372.63
2026-06-05,Pix - Enviado CEF MATRIZ,-7548.13,Pagamento FGTS,2.01.01.03.02.0003 FGTS a Pagar,0.0,7548.13
2026-06-08,Pix - Recebido RONALDO MELO F,6617.24,Recebimento cliente diverso,1.01.03.01.01 Duplicatas a Receber,6617.24,0.0
2026-06-08,Pix - Recebido CASAMATER C,2648.42,Recebimento cliente diverso,1.01.03.01.01 Duplicatas a Receber,2648.42,0.0
2026-06-08,Pix - Recebido F. R. INDUS,355.01,Recebimento cliente diverso,1.01.03.01.01 Duplicatas a Receber,355.01,0.0
2026-06-08,Pix - Recebido RONALDO MEL,10000.0,Recebimento cliente diverso,1.01.03.01.01 Duplicatas a Receber,10000.0,0.0
2026-06-08,Pix - Recebido FALCAO & FR,6854.12,Recebimento cliente diverso,1.01.03.01.01 Duplicatas a Receber,6854.12,0.0
2026-06-08,Pix - Recebido WILSON MARCOS,604.8,Recebimento cliente diverso,1.01.03.01.01 Duplicatas a Receber,604.8,0.0
2026-06-08,Pix - Enviado Mariana Rodrigues de Andrade,-8040.79,Pagamento diverso ⚠️,9.9.9.99 A Classificar,0.0,8040.79
2026-06-08,Pix-Recebimento devolvido CASAMATER,-264.84,Estorno/devolução PIX,1.01.03.01.01 Duplicatas a Receber,0.0,264.84
2026-06-08,Pagamento de Boleto PLACAS DO BRASIL S A,-17403.1,Pagamento a fornecedor (boleto),2.01.01.01.01 Fornecedores Nacionais,0.0,17403.1
2026-06-09,Pix - Recebido CONDOMINIO,1045.4,Recebimento cliente diverso,1.01.03.01.01 Duplicatas a Receber,1045.4,0.0
2026-06-09,Pix - Recebido 58.745.885,105.0,Recebimento cliente diverso,1.01.03.01.01 Duplicatas a Receber,105.0,0.0
2026-06-09,Pix - Recebido FALCAO & FR,13947.37,Recebimento cliente diverso,1.01.03.01.01 Duplicatas a Receber,13947.37,0.0
2026-06-09,Pix - Recebido M C CONCEIC,27.0,Recebimento cliente diverso,1.01.03.01.01 Duplicatas a Receber,27.0,0.0
2026-06-09,Pagamento de Boleto LAGE E RENZETTI LTDA,-5144.88,Pagamento a fornecedor (boleto),2.01.01.01.01 Fornecedores Nacionais,0.0,5144.88
2026-06-09,Pagamento de Boleto IBRAP INDUSTRIA BRASILEIRA DE,-4028.78,Pagamento a fornecedor (boleto),2.01.01.01.01 Fornecedores Nacionais,0.0,4028.78
2026-06-10,Pix - Recebido FALCAO FR,10647.53,Recebimento cliente diverso,1.01.03.01.01 Duplicatas a Receber,10647.53,0.0
2026-06-10,Pix - Recebido C R MACHADO,600.0,Recebimento cliente diverso,1.01.03.01.01 Duplicatas a Receber,600.0,0.0
2026-06-11,Pix - Recebido FALCAO & FR,3656.52,Recebimento cliente diverso,1.01.03.01.01 Duplicatas a Receber,3656.52,0.0
2026-06-11,Pix - Recebido MARCIA FERNAND,2231.14,Recebimento cliente diverso,1.01.03.01.01 Duplicatas a Receber,2231.14,0.0
